// This file was generated in Early Access build of BowieD's AssetEditor 0.0.19-alpha.1
Message_0_Page_0 Ой, у меня сумку вырвали прямо с рук! Этот вор побежал прямо по дороге и свернул!
Message_0_Page_1 Можете помочь его догнать, пожалуйста?
Message_1_Page_0 Вы догнали его?
Message_2_Page_0 Спасибо, что забрали мою сумку, можете её отдать мне?
Message_3_Page_0 *стоит с сумкой и ждёт автобуса*
Response_0 Да, я могу вам помочь
Response_1 Нет, не догнал ещё.
Response_2 Да, держите
Response_3 Нет, не отдам!
Response_4 *уйти*
